% Y = A*X.B
% Input Removed -- A -- B -- VR -- R2
No Input Removed -- 0.104941 -- 0.00571907 -- 0.0317917 -- 0.968208
1 -- 0.0601279 -- 0.0874404 -- 0.486072 -- 0.513928
2 -- 0.082027 -- 0.0874614 -- 0.486189 -- 0.513811
3 -- 0.119706 -- 0.00477787 -- 0.0265597 -- 0.97344
4 -- 0.121484 -- 0.00408141 -- 0.0226882 -- 0.977312
5 -- 0.119032 -- 0.00528773 -- 0.0293939 -- 0.970606
6 -- 0.126456 -- 0.00277923 -- 0.0154495 -- 0.984551
7 -- 0.114466 -- 0.00646833 -- 0.0359567 -- 0.964043
8 -- 0.138582 -- -0.0015303 -- 0.00850679 -- 0.991493
9 -- 0.121146 -- 0.00407697 -- 0.0226635 -- 0.977337
10 -- 0.116115 -- 0.00538697 -- 0.0299456 -- 0.970054
Sensitivity of inputs : 
1 -- 46.9197 % 
2 -- 46.9317 % 
3 -- -0.540384 % 
4 -- -0.94025 % 
5 -- -0.247655 % 
6 -- -1.68789 % 
7 -- 0.430177 % 
8 -- -2.40495 % 
9 -- -0.9428 % 
10 -- -0.190675 % 
