Characteritics of MPS files

|| filename || index || nb_var || nb_constr || nb_coeff || nb_var_int ||
|| scicoinor\demos\data2\miplib\roll3000.mps || 1 || 1166 || 2295 || 29386 || 738 ||
|| scicoinor\demos\data2\miplib\pp08a.mps || 2 || 240 || 136 || 480 || 64 ||
|| scicoinor\demos\data2\miplib\arki001.mps || 3 || 1388 || 1048 || 20439 || 538 ||
|| scicoinor\demos\data2\miplib\pp08aCUTS.mps || 4 || 240 || 246 || 839 || 64 ||
|| scicoinor\demos\data2\miplib\momentum2.mps || 5 || 3732 || 24237 || 245739 || 1809 ||
|| scicoinor\demos\data2\miplib\ds.mps || 6 || 67732 || 656 || 1024059 || 67732 ||
|| scicoinor\demos\data2\miplib\fast0507.mps || 7 || 63009 || 507 || 409349 || 63009 ||
|| scicoinor\demos\data2\miplib\mas76.mps || 8 || 151 || 12 || 1640 || 150 ||
|| scicoinor\demos\data2\miplib\vpm2.mps || 9 || 378 || 234 || 917 || 168 ||
|| scicoinor\demos\data2\miplib\set1ch.mps || 10 || 712 || 492 || 1412 || 240 ||
|| scicoinor\demos\data2\miplib\mkc.mps || 11 || 5325 || 3411 || 17038 || 5323 ||
|| scicoinor\demos\data2\miplib\seymour.mps || 12 || 1372 || 4944 || 33549 || 1372 ||
|| scicoinor\demos\data2\miplib\gesa2.mps || 13 || 1224 || 1392 || 5064 || 408 ||
|| scicoinor\demos\data2\miplib\disctom.mps || 14 || 10000 || 399 || 30000 || 10000 ||
|| scicoinor\demos\data2\miplib\aflow30a.mps || 15 || 842 || 479 || 2091 || 421 ||
|| scicoinor\demos\data2\miplib\mzzv42z.mps || 16 || 11717 || 10460 || 151261 || 11717 ||
|| scicoinor\demos\data2\miplib\manna81.mps || 17 || 3321 || 6480 || 12960 || 3321 ||
|| scicoinor\demos\data2\miplib\misc07.mps || 18 || 260 || 212 || 8619 || 259 ||
|| scicoinor\demos\data2\miplib\dano3mip.mps || 19 || 13873 || 3202 || 79655 || 552 ||
|| scicoinor\demos\data2\miplib\mod011.mps || 20 || 10958 || 4480 || 22254 || 96 ||
|| scicoinor\demos\data2\miplib\qiu.mps || 21 || 840 || 1192 || 3432 || 48 ||
|| scicoinor\demos\data2\miplib\rout.mps || 22 || 556 || 291 || 2431 || 315 ||
|| scicoinor\demos\data2\miplib\sp97ar.mps || 23 || 14101 || 1761 || 290968 || 14101 ||
|| scicoinor\demos\data2\miplib\tr12-30.mps || 24 || 1080 || 750 || 2508 || 360 ||
|| scicoinor\demos\data2\miplib\net12.mps || 25 || 14115 || 14021 || 80384 || 1603 ||
|| scicoinor\demos\data2\miplib\timtab1.mps || 26 || 397 || 171 || 829 || 171 ||
|| scicoinor\demos\data2\miplib\noswot.mps || 27 || 128 || 182 || 735 || 100 ||
|| scicoinor\demos\data2\miplib\msc98-ip.mps || 28 || 21143 || 15850 || 92918 || 20290 ||
|| scicoinor\demos\data2\miplib\stp3d.mps || 29 || 204880 || 159488 || 662128 || 204880 ||
|| scicoinor\demos\data2\miplib\glass4.mps || 30 || 322 || 396 || 1815 || 302 ||
|| scicoinor\demos\data2\miplib\liu.mps || 31 || 1156 || 2178 || 10626 || 1089 ||
|| scicoinor\demos\data2\miplib\p2756.mps || 32 || 2756 || 755 || 8937 || 2756 ||
|| scicoinor\demos\data2\miplib\pk1.mps || 33 || 86 || 45 || 915 || 55 ||
|| scicoinor\demos\data2\miplib\air04.mps || 34 || 8904 || 823 || 72965 || 8904 ||
|| scicoinor\demos\data2\miplib\atlanta-ip.mps || 35 || 48738 || 21732 || 257532 || 46773 ||
|| scicoinor\demos\data2\miplib\protfold.mps || 36 || 1835 || 2112 || 23491 || 1835 ||
|| scicoinor\demos\data2\miplib\mzzv11.mps || 37 || 10240 || 9499 || 134603 || 10240 ||
|| scicoinor\demos\data2\miplib\nw04.mps || 38 || 87482 || 36 || 636666 || 87482 ||
|| scicoinor\demos\data2\miplib\opt1217.mps || 39 || 769 || 64 || 1542 || 768 ||
|| scicoinor\demos\data2\miplib\rd-rplusc-21.mps || 40 || 622 || 125899 || 852384 || 457 ||
|| scicoinor\demos\data2\miplib\harp2.mps || 41 || 2993 || 112 || 5840 || 2993 ||
|| scicoinor\demos\data2\miplib\markshare2.mps || 42 || 74 || 7 || 434 || 60 ||
|| scicoinor\demos\data2\miplib\modglob.mps || 43 || 422 || 291 || 968 || 98 ||
|| scicoinor\demos\data2\miplib\a1c1s1.mps || 44 || 3648 || 3312 || 10178 || 192 ||
|| scicoinor\demos\data2\miplib\t1717.mps || 45 || 73885 || 551 || 325689 || 73885 ||
|| scicoinor\demos\data2\miplib\momentum3.mps || 46 || 13532 || 56822 || 624630 || 6599 ||
|| scicoinor\demos\data2\miplib\timtab2.mps || 47 || 675 || 294 || 1482 || 294 ||
|| scicoinor\demos\data2\miplib\gesa2-o.mps || 48 || 1224 || 1248 || 3672 || 720 ||
|| scicoinor\demos\data2\miplib\danoint.mps || 49 || 521 || 664 || 3232 || 56 ||
|| scicoinor\demos\data2\miplib\markshare1.mps || 50 || 62 || 6 || 312 || 50 ||
|| scicoinor\demos\data2\miplib\cap6000.mps || 51 || 6000 || 2176 || 48243 || 6000 ||
|| scicoinor\demos\data2\miplib\aflow40b.mps || 52 || 2728 || 1442 || 6783 || 1364 ||
|| scicoinor\demos\data2\miplib\mas74.mps || 53 || 151 || 13 || 1706 || 150 ||
|| scicoinor\demos\data2\miplib\momentum1.mps || 54 || 5174 || 42680 || 103198 || 2349 ||
|| scicoinor\demos\data2\miplib\fiber.mps || 55 || 1298 || 363 || 2944 || 1254 ||
|| scicoinor\demos\data2\miplib\nsrand-ipx.mps || 56 || 6621 || 735 || 223261 || 6620 ||
|| scicoinor\demos\data2\miplib\fixnet6.mps || 57 || 878 || 478 || 1756 || 378 ||
|| scicoinor\demos\data2\miplib\air05.mps || 58 || 7195 || 426 || 52121 || 7195 ||
|| scicoinor\demos\data2\miplib\swath.mps || 59 || 6805 || 884 || 34965 || 6724 ||
|| scicoinor\demos\data2\miplib\bell3a_c.mps || 60 || 133 || 123 || 347 || 71 ||
|| scicoinor\demos\data2\miplib\bell4_c.mps || 61 || 117 || 105 || 302 || 64 ||
|| scicoinor\demos\data2\miplib\bell5_c.mps || 62 || 104 || 91 || 266 || 58 ||
|| scicoinor\demos\data2\miplib\blend2_c.mps || 63 || 353 || 274 || 1409 || 256 ||
|| scicoinor\demos\data2\miplib\dcmulti_c.mps || 64 || 548 || 290 || 1315 || 75 ||
|| scicoinor\demos\data2\miplib\dsbmip_mod_c.mps || 65 || 1877 || 1182 || 7366 || 160 ||
|| scicoinor\demos\data2\miplib\egout_c.mps || 66 || 141 || 98 || 282 || 55 ||
|| scicoinor\demos\data2\miplib\enigma_c.mps || 67 || 100 || 21 || 289 || 100 ||
|| scicoinor\demos\data2\miplib\fixnet3_c.mps || 68 || 878 || 478 || 1756 || 378 ||
|| scicoinor\demos\data2\miplib\fixnet4_c.mps || 69 || 878 || 478 || 1756 || 378 ||
|| scicoinor\demos\data2\miplib\flugpl_c.mps || 70 || 18 || 18 || 46 || 11 ||
|| scicoinor\demos\data2\miplib\gen_c.mps || 71 || 870 || 780 || 2592 || 150 ||
|| scicoinor\demos\data2\miplib\gesa3_c.mps || 72 || 1152 || 1368 || 4944 || 384 ||
|| scicoinor\demos\data2\miplib\gesa3_o_c.mps || 73 || 1152 || 1224 || 3624 || 672 ||
|| scicoinor\demos\data2\miplib\gt2_c.mps || 74 || 188 || 29 || 376 || 188 ||
|| scicoinor\demos\data2\miplib\khb05250_c.mps || 75 || 1350 || 101 || 2700 || 24 ||
|| scicoinor\demos\data2\miplib\l152lav_c.mps || 76 || 1989 || 97 || 9922 || 1989 ||
|| scicoinor\demos\data2\miplib\lseu_c.mps || 77 || 89 || 28 || 309 || 89 ||
|| scicoinor\demos\data2\miplib\misc03_c.mps || 78 || 160 || 96 || 2053 || 159 ||
|| scicoinor\demos\data2\miplib\misc06_c.mps || 79 || 1808 || 820 || 5859 || 112 ||
|| scicoinor\demos\data2\miplib\mitre_c.mps || 80 || 10724 || 2054 || 39704 || 10724 ||
|| scicoinor\demos\data2\miplib\mod008_c.mps || 81 || 319 || 6 || 1243 || 319 ||
|| scicoinor\demos\data2\miplib\p0033_c.mps || 82 || 33 || 15 || 98 || 33 ||
|| scicoinor\demos\data2\miplib\p0201_c.mps || 83 || 201 || 133 || 1923 || 201 ||
|| scicoinor\demos\data2\miplib\p0282_c.mps || 84 || 282 || 241 || 1966 || 282 ||
|| scicoinor\demos\data2\miplib\p0548_c.mps || 85 || 548 || 176 || 1711 || 548 ||
|| scicoinor\demos\data2\miplib\qnet1_c.mps || 86 || 1541 || 503 || 4622 || 1417 ||
|| scicoinor\demos\data2\miplib\qnet1_o_c.mps || 87 || 1541 || 456 || 4214 || 1417 ||
|| scicoinor\demos\data2\miplib\rgn_c.mps || 88 || 180 || 24 || 460 || 100 ||
|| scicoinor\demos\data2\miplib\stein27_c.mps || 89 || 27 || 118 || 378 || 27 ||
|| scicoinor\demos\data2\miplib\stein45_c.mps || 90 || 45 || 331 || 1034 || 45 ||
|| scicoinor\demos\data2\miplib\vpm1_c.mps || 91 || 378 || 234 || 749 || 168 ||
|| scicoinor\demos\data2\miplib\10teams.mps || 92 || 2025 || 230 || 12150 || 1800 ||
|| scicoinor\demos\data2\lplib\reactor\reactor.mps || 1 || 637 || 318 || 2420 || 0 ||
|| scicoinor\demos\data2\lplib\vtpbase\vtpbase.mps || 2 || 203 || 198 || 908 || 0 ||
|| scicoinor\demos\data2\lplib\ship\ship12l.mps || 3 || 5427 || 1151 || 16170 || 0 ||
|| scicoinor\demos\data2\lplib\ship\ship04l.mps || 4 || 2118 || 402 || 6332 || 0 ||
|| scicoinor\demos\data2\lplib\ship\ship04s.mps || 5 || 1458 || 402 || 4352 || 0 ||
|| scicoinor\demos\data2\lplib\ship\ship08l.mps || 6 || 4283 || 778 || 12802 || 0 ||
|| scicoinor\demos\data2\lplib\ship\ship12s.mps || 7 || 2763 || 1151 || 8178 || 0 ||
|| scicoinor\demos\data2\lplib\woodinfe\woodinfe.mps || 8 || 89 || 35 || 140 || 0 ||
|| scicoinor\demos\data2\lplib\degen\degen3.mps || 9 || 1818 || 1503 || 24646 || 0 ||
|| scicoinor\demos\data2\lplib\degen\degen2.mps || 10 || 534 || 444 || 3978 || 0 ||
|| scicoinor\demos\data2\lplib\bgindy\bgindy.mps || 11 || 10116 || 2671 || 65502 || 0 ||
|| scicoinor\demos\data2\lplib\galenet\galenet.mps || 12 || 8 || 8 || 16 || 0 ||
|| scicoinor\demos\data2\lplib\bore3d\bore3d.mps || 13 || 315 || 233 || 1429 || 0 ||
|| scicoinor\demos\data2\lplib\mondou2\mondou2.mps || 14 || 604 || 312 || 1208 || 0 ||
|| scicoinor\demos\data2\lplib\scagr\scagr25.mps || 15 || 500 || 471 || 1554 || 0 ||
|| scicoinor\demos\data2\lplib\scagr\scagr7.mps || 16 || 140 || 129 || 420 || 0 ||
|| scicoinor\demos\data2\lplib\pilot\pilot.mps || 17 || 3652 || 1441 || 43167 || 0 ||
|| scicoinor\demos\data2\lplib\pilot\pilotja.mps || 18 || 1988 || 940 || 14698 || 0 ||
|| scicoinor\demos\data2\lplib\pilot\pilotnov.mps || 19 || 2172 || 975 || 13057 || 0 ||
|| scicoinor\demos\data2\lplib\pilot\pilotwe.mps || 20 || 2789 || 722 || 9126 || 0 ||
|| scicoinor\demos\data2\lplib\pilot\pilot4.mps || 21 || 1000 || 410 || 5141 || 0 ||
|| scicoinor\demos\data2\lplib\beaconfd\beaconfd.mps || 22 || 262 || 173 || 3375 || 0 ||
|| scicoinor\demos\data2\lplib\itest\itest6.mps || 23 || 8 || 11 || 20 || 0 ||
|| scicoinor\demos\data2\lplib\itest\itest2.mps || 24 || 4 || 9 || 17 || 0 ||
|| scicoinor\demos\data2\lplib\seba\seba.mps || 25 || 1028 || 515 || 4352 || 0 ||
|| scicoinor\demos\data2\lplib\pang\pang.mps || 26 || 460 || 361 || 2652 || 0 ||
|| scicoinor\demos\data2\lplib\boeing\boeing2.mps || 27 || 143 || 166 || 1196 || 0 ||
|| scicoinor\demos\data2\lplib\boeing\boeing1.mps || 28 || 384 || 351 || 3485 || 0 ||
|| scicoinor\demos\data2\lplib\25fv47\25fv47.mps || 29 || 1571 || 821 || 10400 || 0 ||
|| scicoinor\demos\data2\lplib\chemcom\chemcom.mps || 30 || 720 || 288 || 1566 || 0 ||
|| scicoinor\demos\data2\lplib\d6cube\d6cube.mps || 31 || 6184 || 415 || 37704 || 0 ||
|| scicoinor\demos\data2\lplib\qual\qual.mps || 32 || 464 || 323 || 1646 || 0 ||
|| scicoinor\demos\data2\lplib\recipe\recipe.mps || 33 || 180 || 91 || 663 || 0 ||
|| scicoinor\demos\data2\lplib\80bau3b\80bau3b.mps || 34 || 9799 || 2262 || 21002 || 0 ||
|| scicoinor\demos\data2\lplib\czprob\czprob.mps || 35 || 3523 || 929 || 10669 || 0 ||
|| scicoinor\demos\data2\lplib\scrs8\scrs8.mps || 36 || 1169 || 490 || 3182 || 0 ||
|| scicoinor\demos\data2\lplib\cplex\cplex2.mps || 37 || 221 || 224 || 1058 || 0 ||
|| scicoinor\demos\data2\lplib\cplex\cplex1.mps || 38 || 3221 || 3005 || 8944 || 0 ||
|| scicoinor\demos\data2\lplib\greenbea\greenbea.mps || 39 || 5405 || 2393 || 30883 || 0 ||
|| scicoinor\demos\data2\lplib\fffff800\fffff800.mps || 40 || 854 || 524 || 6227 || 0 ||
|| scicoinor\demos\data2\lplib\tuff\tuff.mps || 41 || 587 || 333 || 4520 || 0 ||
|| scicoinor\demos\data2\lplib\blend\blend.mps || 42 || 83 || 74 || 491 || 0 ||
|| scicoinor\demos\data2\lplib\capri\capri.mps || 43 || 353 || 271 || 1767 || 0 ||
|| scicoinor\demos\data2\lplib\d2q06c\d2q06c.mps || 44 || 5167 || 2171 || 32417 || 0 ||
|| scicoinor\demos\data2\lplib\share\share2b.mps || 45 || 79 || 96 || 694 || 0 ||
|| scicoinor\demos\data2\lplib\share\share1b.mps || 46 || 225 || 117 || 1151 || 0 ||
|| scicoinor\demos\data2\lplib\bgdbg1\bgdbg1.mps || 47 || 407 || 348 || 1440 || 0 ||
|| scicoinor\demos\data2\lplib\etamacro\etamacro.mps || 48 || 688 || 400 || 2409 || 0 ||
|| scicoinor\demos\data2\lplib\stand\standmps.mps || 49 || 1075 || 467 || 3679 || 0 ||
|| scicoinor\demos\data2\lplib\stand\standata.mps || 50 || 1075 || 359 || 3031 || 0 ||
|| scicoinor\demos\data2\lplib\fit\fit1d.mps || 51 || 1026 || 24 || 13404 || 0 ||
|| scicoinor\demos\data2\lplib\fit\fit1p.mps || 52 || 1677 || 627 || 9868 || 0 ||
|| scicoinor\demos\data2\lplib\wood\woodw.mps || 53 || 8405 || 1098 || 37474 || 0 ||
|| scicoinor\demos\data2\lplib\wood\wood1p.mps || 54 || 2594 || 244 || 70215 || 0 ||
|| scicoinor\demos\data2\lplib\bandm\bandm.mps || 55 || 472 || 305 || 2494 || 0 ||
|| scicoinor\demos\data2\lplib\agg\agg2.mps || 56 || 302 || 516 || 4284 || 0 ||
|| scicoinor\demos\data2\lplib\agg\agg.mps || 57 || 163 || 488 || 2410 || 0 ||
|| scicoinor\demos\data2\lplib\agg\agg3.mps || 58 || 302 || 516 || 4300 || 0 ||
|| scicoinor\demos\data2\lplib\pilot4i\pilot4i.mps || 59 || 1000 || 410 || 5141 || 0 ||
|| scicoinor\demos\data2\lplib\box\box1.mps || 60 || 261 || 231 || 651 || 0 ||
|| scicoinor\demos\data2\lplib\vol1\vol1.mps || 61 || 464 || 323 || 1646 || 0 ||
|| scicoinor\demos\data2\lplib\grow\grow15.mps || 62 || 645 || 300 || 5620 || 0 ||
|| scicoinor\demos\data2\lplib\grow\grow22.mps || 63 || 946 || 440 || 8252 || 0 ||
|| scicoinor\demos\data2\lplib\grow\grow7.mps || 64 || 301 || 140 || 2612 || 0 ||
|| scicoinor\demos\data2\lplib\bnl\bnl2.mps || 65 || 3489 || 2324 || 13999 || 0 ||
|| scicoinor\demos\data2\lplib\bnl\bnl1.mps || 66 || 1175 || 643 || 5121 || 0 ||
|| scicoinor\demos\data2\lplib\cycle\cycle.mps || 67 || 2857 || 1903 || 20720 || 0 ||
|| scicoinor\demos\data2\lplib\greenbe\greenbeb.mps || 68 || 5405 || 2392 || 30877 || 0 ||
|| scicoinor\demos\data2\lplib\greenbe\greenbea.mps || 69 || 5405 || 2392 || 30877 || 0 ||
|| scicoinor\demos\data2\lplib\Netlib\25fv47.mps || 70 || 1571 || 821 || 10400 || 0 ||
|| scicoinor\demos\data2\lplib\kb2\kb2.mps || 71 || 41 || 43 || 286 || 0 ||
|| scicoinor\demos\data2\lplib\scfxm\scfxm1.mps || 72 || 457 || 330 || 2589 || 0 ||
|| scicoinor\demos\data2\lplib\scfxm\scfxm2.mps || 73 || 914 || 660 || 5183 || 0 ||
|| scicoinor\demos\data2\lplib\scfxm\scfxm3.mps || 74 || 1371 || 990 || 7777 || 0 ||
|| scicoinor\demos\data2\lplib\scsd\scsd6.mps || 75 || 1350 || 147 || 4316 || 0 ||
|| scicoinor\demos\data2\lplib\scsd\truss.mps || 76 || 8806 || 1000 || 27836 || 0 ||
|| scicoinor\demos\data2\lplib\scsd\scsd8.mps || 77 || 2750 || 397 || 8584 || 0 ||
|| scicoinor\demos\data2\lplib\scsd\scsd1.mps || 78 || 760 || 77 || 2388 || 0 ||
|| scicoinor\demos\data2\lplib\forest6\forest6.mps || 79 || 95 || 66 || 210 || 0 ||
|| scicoinor\demos\data2\lplib\ganges\ganges.mps || 80 || 1681 || 1309 || 6912 || 0 ||
|| scicoinor\demos\data2\lplib\shell\shell.mps || 81 || 1775 || 536 || 3556 || 0 ||
|| scicoinor\demos\data2\lplib\refinery\refinery.mps || 82 || 464 || 323 || 1626 || 0 ||
|| scicoinor\demos\data2\lplib\sierra\sierra.mps || 83 || 2036 || 1227 || 7302 || 0 ||
|| scicoinor\demos\data2\lplib\mps\pds-10.mps || 84 || 48763 || 16558 || 106436 || 0 ||
|| scicoinor\demos\data2\lplib\mps\NL.mps || 85 || 9718 || 7039 || 41428 || 0 ||
|| scicoinor\demos\data2\lplib\mps\mod2.mps || 86 || 31728 || 34774 || 165129 || 0 ||
|| scicoinor\demos\data2\lplib\mps\world.mps || 87 || 32734 || 34506 || 164470 || 0 ||
|| scicoinor\demos\data2\lplib\mps\stocfor3.mps || 88 || 15695 || 16675 || 64875 || 0 ||
|| scicoinor\demos\data2\lplib\mps\gosh.mps || 89 || 10733 || 3792 || 97231 || 0 ||
|| scicoinor\demos\data2\lplib\mps\maros-r7.mps || 90 || 9408 || 3136 || 144848 || 0 ||
|| scicoinor\demos\data2\lplib\israel\israel.mps || 91 || 142 || 174 || 2269 || 0 ||
|| scicoinor\demos\data2\lplib\brandy\brandy.mps || 92 || 249 || 220 || 2148 || 0 ||
|| scicoinor\demos\data2\lplib\forplan\forplan.mps || 93 || 421 || 161 || 4563 || 0 ||
|| scicoinor\demos\data2\lplib\gfrd-pnc\gfrd-pnc.mps || 94 || 1092 || 616 || 2377 || 0 ||
|| scicoinor\demos\data2\lplib\ceria3d\ceria3d.mps || 95 || 824 || 3576 || 17602 || 0 ||
|| scicoinor\demos\data2\lplib\scorpion\scorpion.mps || 96 || 358 || 388 || 1426 || 0 ||
|| scicoinor\demos\data2\lplib\dfl001\dfl001.mps || 97 || 12230 || 6071 || 35632 || 0 ||
|| scicoinor\demos\data2\lplib\stair\stair.mps || 98 || 467 || 356 || 3856 || 0 ||
|| scicoinor\demos\data2\lplib\bgprtr\bgprtr.mps || 99 || 34 || 20 || 64 || 0 ||
|| scicoinor\demos\data2\lplib\sctap\sctap1.mps || 100 || 480 || 300 || 1692 || 0 ||
|| scicoinor\demos\data2\lplib\sctap\sctap2.mps || 101 || 1880 || 1090 || 6714 || 0 ||
|| scicoinor\demos\data2\lplib\sctap\sctap3.mps || 102 || 2480 || 1480 || 8874 || 0 ||
|| scicoinor\demos\data2\lplib\klein\klein2.mps || 103 || 54 || 477 || 4585 || 0 ||
|| scicoinor\demos\data2\lplib\klein\klein3.mps || 104 || 88 || 994 || 12107 || 0 ||
|| scicoinor\demos\data2\lplib\klein\klein1.mps || 105 || 54 || 54 || 696 || 0 ||
|| scicoinor\demos\data2\lplib\gran\gran.mps || 106 || 2520 || 2658 || 20106 || 0 ||
|| scicoinor\demos\data2\lplib\sc\sc50a.mps || 107 || 48 || 50 || 130 || 0 ||
|| scicoinor\demos\data2\lplib\sc\sc205.mps || 108 || 203 || 205 || 551 || 0 ||
|| scicoinor\demos\data2\lplib\sc\sc105.mps || 109 || 103 || 105 || 280 || 0 ||
|| scicoinor\demos\data2\lplib\sc\sc50b.mps || 110 || 48 || 50 || 118 || 0 ||
|| scicoinor\demos\data2\lplib\nesm\nesm.mps || 111 || 2923 || 662 || 13288 || 0 ||
|| scicoinor\demos\data2\lplib\adlittle\adlittle.mps || 112 || 97 || 56 || 383 || 0 ||
|| scicoinor\demos\data2\lplib\finnis\finnis.mps || 113 || 614 || 497 || 2310 || 0 ||
|| scicoinor\demos\data2\lplib\lotfi\lotfi.mps || 114 || 308 || 153 || 1078 || 0 ||
|| scicoinor\demos\data2\lplib\ex7_a\ex72a.mps || 115 || 215 || 197 || 467 || 0 ||
|| scicoinor\demos\data2\lplib\ex7_a\ex73a.mps || 116 || 211 || 193 || 457 || 0 ||
|| scicoinor\demos\data2\lplib\e226\e226.mps || 117 || 282 || 223 || 2578 || 0 ||
|| scicoinor\demos\data2\lplib\perold\perold.mps || 118 || 1376 || 625 || 6018 || 0 ||
|| scicoinor\demos\data2\lplib\afiro\afiro.mps || 119 || 32 || 27 || 83 || 0 ||
|| scicoinor\demos\data2\lplib\stocfor\stocfor1.mps || 120 || 111 || 117 || 447 || 0 ||
|| scicoinor\demos\data2\lplib\stocfor\stocfor2.mps || 121 || 2031 || 2157 || 8343 || 0 ||
|| scicoinor\demos\data2\lplib\maros\maros.mps || 122 || 1443 || 846 || 9614 || 0 ||
|| scicoinor\demos\data2\lplib\gosh\gosh.mps || 123 || 10733 || 3792 || 97231 || 0 ||
|| scicoinor\demos\data2\lplib\bgetam\bgetam.mps || 124 || 688 || 400 || 2409 || 0 ||
|| scicoinor\demos\data2\mitt_c\bienst1_c.mps || 1 || 505 || 576 || 2184 || 28 ||
|| scicoinor\demos\data2\mitt_c\bc1_c.mps || 2 || 1751 || 1913 || 177640 || 252 ||
|| scicoinor\demos\data2\mitt_c\prod1_c.mps || 3 || 250 || 208 || 5350 || 149 ||
|| scicoinor\demos\data2\mitt_c\neos3_c.mps || 4 || 2747 || 1442 || 9580 || 1360 ||
|| scicoinor\demos\data2\mitt_c\ip_c.mps || 5 || 5868 || 2313 || 17712 || 36 ||
|| scicoinor\demos\data2\mitt_c\swath3_c.mps || 6 || 6805 || 884 || 34965 || 2706 ||
|| scicoinor\demos\data2\mitt_c\swath2_c.mps || 7 || 6805 || 884 || 34965 || 2406 ||
|| scicoinor\demos\data2\mitt_c\neos2_c.mps || 8 || 2101 || 1103 || 7326 || 1040 ||
|| scicoinor\demos\data2\mitt_c\mkc1_c.mps || 9 || 5325 || 3411 || 17038 || 3087 ||
|| scicoinor\demos\data2\mitt_c\swath1_c.mps || 10 || 6805 || 884 || 34965 || 2306 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-3.mps || 1 || 924 || 705 || 6544 || 340 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-5.mps || 2 || 918 || 699 || 6509 || 338 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-22.mps || 3 || 887 || 676 || 6501 || 328 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-4.mps || 4 || 918 || 698 || 6477 || 338 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-8.mps || 5 || 918 || 704 || 6572 || 338 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-11.mps || 6 || 859 || 643 || 5872 || 315 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-15.mps || 7 || 887 || 666 || 6231 || 328 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-14.mps || 8 || 887 || 679 || 6461 || 328 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-12.mps || 9 || 887 || 672 || 6348 || 328 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-10.mps || 10 || 924 || 708 || 6622 || 340 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-13.mps || 11 || 887 || 679 || 6461 || 328 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-18.mps || 12 || 907 || 687 || 6409 || 334 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-6.mps || 13 || 918 || 699 || 6488 || 338 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-16.mps || 14 || 924 || 700 || 6496 || 340 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-20.mps || 15 || 918 || 707 || 6581 || 338 ||
|| scicoinor\demos\data2\bi-sc\BI-SC-21.mps || 16 || 918 || 698 || 6477 || 338 ||
